3730,Aliens versus Predator Classic 2000,1/15/2010,Single-player;Multi-player,Action,FPS;Action;Classic,1434,219
3800,Advent Rising,9/14/2006,Single-player;Steam Trading Cards,Action,Action;Sci-fi;Story Rich,260,71
3810,BloodRayne,9/14/2006,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist,369,110
3820,BloodRayne 2,9/14/2006,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist,259,103
3830,Psychonauts,10/11/2006,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Platformer;Comedy;Adventure,8204,456
3900,Sid Meier's Civilization® IV,10/25/2006,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based,1394,129
3910,Sid Meier's Civilization® III Complete,10/25/2006,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based,2578,405
3920,Sid Meier's Pirates!,7/11/2005,Single-player,RPG,Pirates;Open World;RPG,2641,193
3960,Shattered Union,10/25/2006,Single-player;Multi-player,Strategy,Strategy;Turn-Based Strategy,39,49
3980,CivCity: Rome,4/6/2007,Single-player,Strategy,Strategy;City Builder;Simulation,184,65
3990,Civilization IV®: Warlords,4/6/2007,Single-player,Strategy,Strategy;Turn-Based;4X,121,20
4000,Garry's Mod,11/29/2006,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Indie;Simulation,Sandbox;Multiplayer;Funny,363721,16433
4100,Poker Superstars II,10/5/2006,Single-player,Casual;Strategy;Indie,Card Game,4,5
4230,RACE - The WTCC Game,11/24/2006,Single-player;Multi-player,Racing,Racing;Simulation,119,43
4290,RACE: Caterham Expansion,6/22/2007,Single-player;Multi-player,Racing,Racing;Simulation,4,2
4300,RoboBlitz,11/7/2006,Single-player;Partial Controller Support;Includes level editor,Action;Indie,Action;Indie;Puzzle,43,14
4420,Silverfall,3/20/2007,Single-player,RPG,RPG;Hack and Slash;Action RPG,57,36
4460,City Life 2008,9/29/2008,Single-player,Simulation;Strategy,Simulation;Strategy;City Builder,77,41
4470,Silverfall: Earth Awakening,7/18/2008,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action RPG,31,17
